country,year,sex,list,cause,cdr
USA,2018,1,short,11,683
USA,2018,1,short,12,367
USA,2018,1,short,13,48
USA,2018,1,short,14,224
USA,2018,1,short,15,78
USA,2018,1,short,16,1054
USA,1979,2,short,0,7529
USA,1979,2,short,1,77
USA,1979,2,short,2,1654
USA,1979,2,short,3,26
USA,1979,2,short,4,227
USA,1979,2,short,5,56
USA,1979,2,short,6,95
USA,1979,2,short,7,2948
USA,1979,2,short,8,869
USA,1979,2,short,9,228
USA,1979,2,short,10,137
USA,1979,2,short,11,202
USA,1979,2,short,12,279
USA,1979,2,short,13,53
USA,1979,2,short,14,125
USA,1979,2,short,15,164
USA,1979,2,short,16,389
USA,1980,2,short,0,7837
USA,1980,2,short,1,87
USA,1980,2,short,2,1702
USA,1980,2,short,3,27
USA,1980,2,short,4,241
USA,1980,2,short,5,63
USA,1980,2,short,6,101
USA,1980,2,short,7,3073
USA,1980,2,short,8,873
USA,1980,2,short,9,231
USA,1980,2,short,10,174
USA,1980,2,short,11,234
USA,1980,2,short,12,290
USA,1980,2,short,13,57
USA,1980,2,short,14,134
USA,1980,2,short,15,163
USA,1980,2,short,16,387
USA,1981,2,short,0,7749
USA,1981,2,short,1,92
USA,1981,2,short,2,1715
USA,1981,2,short,3,27
USA,1981,2,short,4,237
USA,1981,2,short,5,66
USA,1981,2,short,6,105
USA,1981,2,short,7,3018
USA,1981,2,short,8,837
USA,1981,2,short,9,221
USA,1981,2,short,10,171
USA,1981,2,short,11,251
USA,1981,2,short,12,288
USA,1981,2,short,13,58
USA,1981,2,short,14,138
USA,1981,2,short,15,156
USA,1981,2,short,16,369
USA,1982,2,short,0,7716
USA,1982,2,short,1,96
USA,1982,2,short,2,1748
USA,1982,2,short,3,28
USA,1982,2,short,4,235
USA,1982,2,short,5,65
USA,1982,2,short,6,108
USA,1982,2,short,7,3022
USA,1982,2,short,8,804
USA,1982,2,short,9,216
USA,1982,2,short,10,146
USA,1982,2,short,11,260
USA,1982,2,short,12,284
USA,1982,2,short,13,60
USA,1982,2,short,14,144
USA,1982,2,short,15,150
USA,1982,2,short,16,351
USA,1983,2,short,0,7888
USA,1983,2,short,1,104
USA,1983,2,short,2,1777
USA,1983,2,short,3,30
USA,1983,2,short,4,247
USA,1983,2,short,5,73
USA,1983,2,short,6,122
USA,1983,2,short,7,3077
USA,1983,2,short,8,791
USA,1983,2,short,9,218
USA,1983,2,short,10,171
USA,1983,2,short,11,295
USA,1983,2,short,12,280
USA,1983,2,short,13,61
USA,1983,2,short,14,152
USA,1983,2,short,15,143
USA,1983,2,short,16,347
USA,1984,2,short,0,7950
USA,1984,2,short,1,113
USA,1984,2,short,2,1814
USA,1984,2,short,3,32
USA,1984,2,short,4,242
USA,1984,2,short,5,76
USA,1984,2,short,6,133
USA,1984,2,short,7,3051
USA,1984,2,short,8,786
USA,1984,2,short,9,210
USA,1984,2,short,10,179
USA,1984,2,short,11,316
USA,1984,2,short,12,287
USA,1984,2,short,13,65
USA,1984,2,short,14,161
USA,1984,2,short,15,140
USA,1984,2,short,16,347
USA,1985,2,short,0,8094
USA,1985,2,short,1,126
USA,1985,2,short,2,1836
USA,1985,2,short,3,34
USA,1985,2,short,4,251
USA,1985,2,short,5,83
USA,1985,2,short,6,148
USA,1985,2,short,7,3060
USA,1985,2,short,8,781
USA,1985,2,short,9,208
USA,1985,2,short,10,208
USA,1985,2,short,11,352
USA,1985,2,short,12,290
USA,1985,2,short,13,66
USA,1985,2,short,14,171
USA,1985,2,short,15,136
USA,1985,2,short,16,346
USA,1986,2,short,0,8126
USA,1986,2,short,1,133
USA,1986,2,short,2,1856
USA,1986,2,short,3,36
USA,1986,2,short,4,252
USA,1986,2,short,5,86
USA,1986,2,short,6,159
USA,1986,2,short,7,3041
USA,1986,2,short,8,762
USA,1986,2,short,9,203
USA,1986,2,short,10,212
USA,1986,2,short,11,367
USA,1986,2,short,12,291
USA,1986,2,short,13,66
USA,1986,2,short,14,178
USA,1986,2,short,15,133
USA,1986,2,short,16,352
USA,1987,2,short,0,8169
USA,1987,2,short,1,156
USA,1987,2,short,2,1866
USA,1987,2,short,3,33
USA,1987,2,short,4,255
USA,1987,2,short,5,90
USA,1987,2,short,6,175
USA,1987,2,short,7,3017
