country,year,sex,list,agf,cause,total,d0,d1,d5,d10,d15,d20,d25,d30,d35,d40,d45,d50,d55,d60,d65,d70,d75,d80,d85p,d85,d90p,d90,d95p,d95,d100p
USA,1983,1,short,4,1,13158.71,432.09,191.89,60.7,48.04,86.01,115.49,223.63,259.18,285.32,314.46,364.7,566.9,870.56,1174.93,1457.64,1674.24,1802.86,1464.5,1765.57,1018.96,746.61,553.16,193.45,159.76,33.69
USA,1983,1,short,4,2,247541.02,104.72,427.93,396.1,414.78,634.61,825.7,1177.3,1614.16,2402.21,3913.67,7017.8,13195.27,23448.86,32850.74,39476.9,41437.84,35569.45,23710.21,18922.77,12962.91,5959.86,4860.34,1099.52,989.27,110.25
USA,1983,1,short,4,3,3700.06,71.85,78.21,32.35,34.38,46.31,82.67,143.02,213.89,196.78,155.92,120,154.03,200.16,250.09,302.5,348.62,426.58,369.88,472.79,292.78,180.02,141.5,38.51,34.11,4.4
USA,1983,1,short,4,4,21536.12,194.25,91.31,81.9,82.02,115.09,136.28,214.33,305.7,400.55,462.99,616.61,916.64,1627.88,2159.67,2704.35,3179.97,3124.78,2429.38,2692.41,1643.9,1048.51,769.81,278.7,236.94,41.76
USA,1983,1,short,4,5,9635.89,4.96,24.62,20.65,17.94,52.55,146.11,337.23,521.01,460.86,433.96,464.25,579.26,684.85,687.64,681.11,734.59,866.74,1129.16,1788.43,1009.79,778.64,577.41,201.23,171.37,29.86
USA,1983,1,short,4,6,15825.88,477.25,388.98,145.96,143.09,313.61,332.93,290.5,294.15,319.26,371.23,444.97,614.2,943.37,1285.26,1726.65,2067.68,2319.74,1783.24,1563.8,1054.05,509.75,403.67,106.08,94.05,12.03
USA,1983,1,short,4,7,402523.45,365.71,173.85,64.46,87.06,238.51,396.1,780.7,1534.24,3040.01,5729.92,9818.28,17815.47,29423.08,42246.83,53205.94,62071.74,61332.71,51953.43,62245.4,37013.85,25231.55,18954.27,6277.28,5404.32,872.96
USA,1983,1,short,4,8,65370.43,66.6,31.91,21.52,17.44,57.41,111.82,184.83,275.12,447.14,614.9,1071.19,1589.14,2689.75,4410.25,6484.9,9445.26,11770.26,11614.64,14466.36,8728.99,5737.37,4358.56,1378.81,1212.02,166.79
USA,1983,1,short,4,9,26021.41,17.35,3.83,5.23,7.92,25.98,39.36,67.34,99,155.65,194.8,326.29,643.5,1190.71,2139.01,3072.46,3995.29,4402.39,4011.61,5623.72,3148.83,2474.89,1792.61,682.28,571.09,111.19
USA,1983,1,short,4,10,20359.32,419.42,144.14,34.62,28.27,49.58,77.51,123.73,177.52,201.24,225.83,285.66,447.23,714.87,1066.78,1476.09,2130.43,2802.8,3660.92,6292.7,3428.79,2863.91,2061.7,802.21,683.39,118.82
